activity activity.code subject t.body.acc.mean.x t.body.acc.mean.y t.body.acc.mean.z t.body.acc.std.x t.body.acc.std.y t.body.acc.std.z t.gravity.acc.mean.x t.gravity.acc.mean.y t.gravity.acc.mean.z t.gravity.acc.std.x t.gravity.acc.std.y t.gravity.acc.std.z
1 standing 5 1 0.28858451 -0.020294171 -0.13290514 -0.9952786 -0.98311061 -0.91352645 0.96339614 -0.14083968 0.11537494 -0.98524969 -0.98170843 -0.87762497
2 standing 5 1 0.27841883 -0.016410568 -0.12352019 -0.99824528 -0.97530022 -0.96032199 0.96656113 -0.14155127 0.10937881 -0.99741134 -0.98944741 -0.93163868
3 standing 5 1 0.27965306 -0.019467156 -0.11346169 -0.99537956 -0.96718701 -0.97894396 0.9668781 -0.14200984 0.10188392 -0.99957395 -0.99286582 -0.99291723
4 standing 5 1 0.27917394 -0.026200646 -0.12328257 -0.99609149 -0.9834027 -0.9906751 0.96761519 -0.14397645 0.099850143 -0.99664558 -0.98139281 -0.97847643
5 standing 5 1 0.27662877 -0.016569655 -0.11536185 -0.99813862 -0.98081727 -0.99048163 0.9682244 -0.14875022 0.094485896 -0.99842928 -0.98809824 -0.97874493
6 standing 5 1 0.27719877 -0.01009785 -0.10513725 -0.99733496 -0.99048681 -0.99542003 0.9679482 -0.14820997 0.091909715 -0.9989793 -0.98675389 -0.99730641
7 standing 5 1 0.27945388 -0.019640776 -0.11002215 -0.99692104 -0.96718593 -0.98311783 0.9679295 -0.14428214 0.093144628 -0.99933247 -0.98857468 -0.99201595
8 standing 5 1 0.27743247 -0.030488303 -0.12536043 -0.99655926 -0.96672843 -0.98158533 0.96849148 -0.14670536 0.091708159 -0.99811827 -0.97295996 -0.97656878
9 standing 5 1 0.27729342 -0.021750698 -0.12075082 -0.99732847 -0.96124532 -0.98367156 0.96848115 -0.15437401 0.085118255 -0.99778938 -0.9756451 -0.9689613
10 standing 5 1 0.28058569 -0.0099602983 -0.10606516 -0.99480344 -0.9727584 -0.98624387 0.96841804 -0.15630201 0.08087447 -0.99736219 -0.99050162 -0.99674235
11 standing 5 1 0.27688027 -0.012721805 -0.10343832 -0.99481511 -0.97307692 -0.98535702 0.96920266 -0.15236144 0.081258077 -0.99726455 -0.98648794 -0.99469268
12 standing 5 1 0.27622817 -0.021441302 -0.10820234 -0.99824595 -0.98721376 -0.99272659 0.96925328 -0.15006376 0.082931213 -0.99812719 -0.99482045 -0.99230114
13 standing 5 1 0.278457 -0.020414761 -0.11273172 -0.99913488 -0.98468004 -0.99627424 0.9689963 -0.1523621 0.083150803 -0.99915165 -0.98730738 -0.99361292
14 standing 5 1 0.27717497 -0.014712802 -0.10675647 -0.99918834 -0.99052638 -0.99336501 0.96904398 -0.15414125 0.081819604 -0.99957758 -0.99425118 -0.99511053
15 standing 5 1 0.29794572 0.027093908 -0.061668123 -0.98864079 -0.8166986 -0.90190653 0.94489486 -0.29262334 -0.021435523 -0.9640453 -0.81461226 -0.86787383
