activity activity.code subject mean.t.body.acc.mean.x mean.t.body.acc.mean.y mean.t.body.acc.mean.z mean.t.body.acc.std.x mean.t.body.acc.std.y mean.t.body.acc.std.z mean.t.body.acc.mad.x mean.t.body.acc.mad.y mean.t.body.acc.mad.z mean.t.body.acc.max.x mean.t.body.acc.max.y mean.t.body.acc.max.z
1 walking 1 1 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.283740258842105 0.114461336747368 -0.260027902210526 -0.340699021263158 0.0618110802884211 -0.2501253216 -0.103124690251158 -0.055729884396 -0.255287708568421
2 walking 1 2 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.423642838474576 -0.0780912533118644 -0.425257524915254 -0.460983072033898 -0.120172928300508 -0.410145294237288 -0.268557946491525 -0.11402759334678 -0.376478510508475
3 walking 1 3 0.275567462068966 -0.0171767844203448 -0.112674859827586 -0.360356726034483 -0.0699140652103448 -0.387411994310345 -0.409075189482759 -0.0873748121241379 -0.392182467413793 -0.0549736850689655 -0.0993467303965517 -0.486518498448276
4 walking 1 4 0.278582015166667 -0.0148399475341667 -0.11140306485 -0.440829971333333 -0.0788267367683333 -0.586252806833333 -0.463240806833333 -0.0882479108316667 -0.577853991833333 -0.274067506 0.000394426711666667 -0.508430021333333
5 walking 1 5 0.27784234625 -0.0172850317482679 -0.107741776464286 -0.294098534232143 0.0767484028053571 -0.45702143625 -0.324211424758929 0.02125245425 -0.417584377321429 -0.144377074553571 0.0736703901732143 -0.499221384642857
6 walking 1 6 0.283658868070175 -0.0168954189082456 -0.110303165877193 -0.296538717368421 0.164213884996491 -0.504324207192982 -0.364913547017544 0.147044978903509 -0.501267576140351 -0.0141933701210526 0.133092995308772 -0.447302828035088
7 walking 1 7 0.275592961754386 -0.018653665345614 -0.110912234947368 -0.327243240701754 -0.0772618561052631 0.159631283261403 -0.338138098070175 -0.136694056370175 0.152464596122807 -0.129966299126316 -0.17166371704386 -0.259122443859649
8 walking 1 8 0.27468631 -0.0186628865310417 -0.107252090833333 -0.173605736002083 0.380782052708333 -0.1420885318125 -0.20725909954375 0.300305775416667 -0.133001121625 0.0215062722708333 0.172359720737708 -0.295656992583333
9 walking 1 9 0.278502842115385 -0.0180891971284423 -0.110820512307692 -0.238353562692308 -0.201696960826923 -0.0579636469030769 -0.274019834615385 -0.212359889865385 -0.01417928689 -0.106228921811346 -0.0319836744711538 -0.347719583846154
10 walking 1 10 0.278574076603774 -0.017022351190566 -0.109057512132075 -0.178709734396226 -0.0227431651698113 -0.395645072075472 -0.24733005790566 -0.0833112748886792 -0.378319836415094 0.0633464077339623 0.102748652126415 -0.25232745090566
11 walking 1 11 0.271821892881356 -0.0166475833623729 -0.106096304033898 -0.422842071864407 -0.0522120750440678 -0.530626311355932 -0.456440630677966 -0.0459708287983051 -0.511849578983051 -0.331038257118644 -0.104204618088136 -0.429226929491525
12 walking 1 12 0.2771286656 -0.015560927606 -0.10316110632 -0.128898533096 -0.122783290008 -0.4106060626 -0.17486906168 -0.15772455196 -0.4196657108 0.14665451402 -0.130303060066 -0.3972490326
13 walking 1 13 0.275883130350877 -0.0185660651947368 -0.111431456192982 -0.346980394210526 0.141866689392982 -0.220503537026316 -0.392011497017544 0.112369922905263 -0.225573216675439 -0.137027597263158 0.0147724938694737 -0.398201969824561
14 walking 1 14 0.271959598644068 -0.0217785380966102 -0.106756369135593 -0.402639098135593 -0.0536126686650847 0.0518841040022034 -0.441842798983051 -0.0635288383677966 -0.00342917475084746 -0.192813420186441 -0.00197348950745763 -0.150189797728814
15 walking 1 15 0.273899207962963 -0.0170809740090741 -0.107621819518519 -0.327961801111111 0.138912923691296 -0.518932634814815 -0.377019482037037 0.121720092940741 -0.509096461481481 -0.090141018737037 -0.0335206664048148 -0.392384107777778
